courseCode,courseName,maxStudents,lectureHours,practicalHours
2344115,Network Design Lab,60,0,6
ITL802,Cloud Computing Lab,60,0,12
ILO8011,Project Management,60,3,0
ITDO6014,Ethical Hacking & Forensics,60,3,0
2344411,Mini Project Paradigms,60,2,8
PCC2011,Data Structure & Analysis,60,2,6
2344113,Computer Network & Network Design,60,3,0
VSEC201,Workshop,60,0,2
ITC601,Database Management & BI,60,3,0
ITL601,Business Intelligence Lab,60,0,10
MDC401,Microprocessor,60,3,0
ITC801,Blockchain & DLT,60,3,0
2344114,Unix Lab,60,0,6
ITDO8024,Cloud Computing Services,60,3,0
ITC603,Wireless Technology,60,6,0
MDL401,Microprocessor Lab,60,0,6
OEC401,Open Elective,60,4,0
VSEC202,Python,60,2,4
2994512,Design Thinking,60,2,2
ITL603,Sensor Lab,60,0,12
ITDO8021,User Interface Design,60,3,0
2344112,Operating System,60,3,0
ITC602,WebX,60,3,0
ITL602,Web Lab,60,0,10
ITL801,Blockchain Lab,60,0,8
ITC604,AIDS-I,60,3,0
ITL605,Data Science Python Lab,60,0,12
ITDO8011,Big Data Analysis,60,3,0
2994511,Business Model Development,60,2,10
ITL604,MAD & PWA Lab,60,0,10
HCSC601,Digital Forensics,60,4,0
HCSC801,Application Security,60,4,0
